
Начало измерений 15:23:53 17.01.2024

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;0;0;0;0;0;0;0;0;20;
0.064;0;0;0;0;0;0;0;0;20;
0.096;0;0;0;0;0;0;0;0;20;
0.128;0;0;0;0;0;0;0;0;20;
0.16;0;0;0;0;0;0;0;0;20;
0.192;0;0;0;0;0;0;0;0;20;
0.224;0;0;0;0;0;0;0;0;20;
0.256;0;0;0;0;0;0;0;0;20;
0.288;0;0;0;0;0;0;0;0;20;
0.32;0;0;0;0;0;0;0;0;20;
0.352;0;0;0;0;0;0;0;0;20;
0.384;0;0;0;0;0;0;0;0;20;
0.416;0;0;0;0;0;0;0;0;20;
0.448;0;0;0;0;0;0;0;0;20;
0.48;0;0;0;0;0;0;0;0;20;
0.512;0;0;0;0;0;0;0;0;20;
0.544;0;0;0;0;0;0;0;0;20;
0.576;0;0;0;0;0;0;0;0;20;
0.608;0;0;0;0;0;0;0;0;20;
0.64;0;0;0;0;0;0;0;0;20;
0.672;0;0;0;0;0;0;0;0;20;
0.704;0;0;0;0;0;0;0;0;20;
0.736;0;0;0;0;0;0;0;0;20;
0.768;0;0;0;0;0;0;0;0;20;
0.8;0;0;0;0;0;0;0;0;20;
0.832;0;0;0;0;0;0;0;0;20;
0.864;0;0;0;0;0;0;0;0;20;
0.896;0;0;0;0;0;0;0;0;20;
0.928;0;0;0;0;0;0;0;0;20;
0.96;0;0;0;0;0;0;0;0;20;
0.992;0;0;0;0;0;0;0;0;20;
1.024;0;0;0;0;0;0;0;0;20;
1.056;0;0;0;0;0;0;0;0;20;
1.088;0;0;0;0;0;0;0;0;20;
1.12;0;0;0;0;0;0;0;0;20;
1.152;0;0;0;0;0;0;0;0;20;
1.184;0;0;0;0;0;0;0;0;20;
1.216;0;0;0;0;0;0;0;0;20;
1.248;0;0;0;0;0;0;0;0;20;
1.28;0;0;0;0;0;0;0;0;20;
1.312;0;0;0;0;0;0;0;0;20;
1.344;0;0;0;0;0;0;0;0;20;
1.376;0;0;0;0;0;0;0;0;20;
1.408;0;0;0;0;0;0;0;0;20;
1.44;0;0;0;0;0;0;0;0;20;
1.472;0;0;0;0;0;0;0;0;20;
1.504;0;0;0;0;0;0;0;0;20;
1.536;0;0;0;0;0;0;0;0;20;
1.568;0;0;0;0;0;0;0;0;20;
1.6;0;0;0;0;0;0;0;0;20;
1.632;0;0;0;0;0;0;0;0;20;
1.664;0;0;0;0;0;0;0;0;20;
1.696;0;0;0;0;0;0;0;0;20;
1.728;0;0;0;0;0;0;0;0;20;
1.76;0;0;0;0;0;0;0;0;20;
1.792;0;0;0;0;0;0;0;0;20;
1.824;0;0;0;0;0;0;0;0;20;
1.856;0;0;0;0;0;0;0;0;20;
1.888;0;0;0;0;0;0;0;0;20;
1.92;0;0;0;0;0;0;0;0;20;
1.952;0;0;0;0;0;0;0;0;20;
1.984;0;0;0;0;0;0;0;0;20;
2.016;0;0;0;0;0;0;0;0;20;
2.048;0;0;0;0;0;0;0;0;20;
2.08;0;0;0;0;0;0;0;0;20;
2.112;0;0;0;0;0;0;0;0;20;
2.144;0;0;0;0;0;0;0;0;20;
2.176;0;0;0;0;0;0;0;0;20;
2.208;0;0;0;0;0;0;0;0;20;
2.24;0;0;0;0;0;0;0;0;20;
2.272;0;0;0;0;0;0;0;0;20;
2.304;0;0;0;0;0;0;0;0;20;
2.336;0;0;0;0;0;0;0;0;20;
2.368;0;0;0;0;0;0;0;0;20;
2.4;0;0;0;0;0;0;0;0;20;
2.432;0;0;0;0;0;0;0;0;20;
2.464;0;0;0;0;0;0;0;0;20;
2.496;0;0;0;0;0;0;0;0;20;
2.528;0;0;0;0;0;0;0;0;20;
2.56;0;0;0;0;0;0;0;0;20;
2.592;0;0;0;0;0;0;0;0;20;
2.624;0;0;0;0;0;0;0;0;20;
2.656;0;0;0;0;0;0;0;0;20;
2.688;0;0;0;0;0;0;0;0;20;
2.72;0;0;0;0;0;0;0;0;20;
2.752;0;0;0;0;0;0;0;0;20;
2.784;0;0;0;0;0;0;0;0;20;
2.816;0;0;0;0;0;0;0;0;20;
2.848;0;0;0;0;0;0;0;0;20;
2.88;0;0;0;0;0;0;0;0;20;
2.912;0;0;0;0;0;0;0;0;20;
2.944;0;0;0;0;0;0;0;0;20;
2.976;0;0;0;0;0;0;0;0;20;
3.008;0;0;0;0;0;0;0;0;20;
3.04;0;0;0;0;0;0;0;0;20;
3.072;0;0;0;0;0;0;0;0;20;
3.104;0;0;0;0;0;0;0;0;20;
3.136;0;0;0;0;0;0;0;0;20;
3.168;0;0;0;0;0;0;0;0;20;
3.2;0;0;0;0;0;0;0;0;20;
3.232;0;0;0;0;0;0;0;0;20;
3.264;0;0;0;0;0;0;0;0;20;
3.296;0;0;0;0;0;0;0;0;20;
3.328;0;0;0;0;0;0;0;0;20;
3.36;0;0;0;0;0;0;0;0;20;
3.392;0;0;0;0;0;0;0;0;20;
3.424;0;0;0;0;0;0;0;0;20;
3.456;0;0;0;0;0;0;0;0;20;
3.488;0;0;0;0;0;0;0;0;20;
3.52;0;0;0;0;0;0;0;0;20;
3.552;0;0;0;0;0;0;0;0;20;
3.584;0;0;0;0;0;0;0;0;20;
3.616;0;0;0;0;0;0;0;0;20;
3.648;0;0;0;0;0;0;0;0;20;
3.68;0;0;0;0;0;0;0;0;20;
3.712;0;0;0;0;0;0;0;0;20;
3.744;0;0;0;0;0;0;0;0;20;
3.776;0;0;0;0;0;0;0;0;20;
3.808;0;0;0;0;0;0;0;0;20;
3.84;0;0;0;0;0;0;0;0;20;
3.872;0;0;0;0;0;0;0;0;20;
3.904;0;0;0;0;0;0;0;0;20;
3.936;0;0;0;0;0;0;0;0;20;
3.968;0;0;0;0;0;0;0;0;20;
4;0;0;0;0;0;0;0;0;20;
4.032;0;0;0;0;0;0;0;0;20;
4.064;0;0;0;0;0;0;0;0;20;
4.096;0;0;0;0;0;0;0;0;20;
4.128;0;0;0;0;0;0;0;0;20;
4.16;0;0;0;0;0;0;0;0;20;
4.192;0;0;0;0;0;0;0;0;20;
4.224;0;0;0;0;0;0;0;0;20;
4.256;0;0;0;0;0;0;0;0;20;
4.288;0;0;0;0;0;0;0;0;20;
4.32;0;0;0;0;0;0;0;0;20;
4.352;0;0;0;0;0;0;0;0;20;
4.384;0;0;0;0;0;0;0;0;20;
4.416;0;0;0;0;0;0;0;0;20;
4.448;0;0;0;0;0;0;0;0;20;
4.48;0;0;0;0;0;0;0;0;20;
4.512;0;0;0;0;0;0;0;0;20;
4.544;0;0;0;0;0;0;0;0;20;
4.576;0;0;0;0;0;0;0;0;20;
4.608;0;0;0;0;0;0;0;0;20;
4.64;0;0;0;0;0;0;0;0;20;
4.672;0;0;0;0;0;0;0;0;20;
4.704;0;0;0;0;0;0;0;0;20;
4.736;0;0;0;0;0;0;0;0;20;
4.768;0;0;0;0;0;0;0;0;20;
4.8;0;0;0;0;0;0;0;0;20;
4.832;0;0;0;0;0;0;0;0;20;
4.864;0;0;0;0;0;0;0;0;20;
4.896;0;0;0;0;0;0;0;0;20;
4.928;0;0;0;0;0;0;0;0;20;
4.96;0;0;0;0;0;0;0;0;20;
4.992;0;0;0;0;0;0;0;0;20;
5.024;0;0;0;0;0;0;0;0;20;
5.056;0;0;0;0;0;0;0;0;20;
5.088;0;0;0;0;0;0;0;0;20;
5.12;0;0;0;0;0;0;0;0;20;
5.152;0;0;0;0;0;0;0;0;20;
5.184;0;0;0;0;0;0;0;0;20;
5.216;0;0;0;0;0;0;0;0;20;
5.248;0;0;0;0;0;0;0;0;20;
5.28;0;0;0;0;0;0;0;0;20;
5.312;0;0;0;0;0;0;0;0;20;
5.344;0;0;0;0;0;0;0;0;20;
5.376;0;0;0;0;0;0;0;0;20;
5.408;0;0;0;0;0;0;0;0;20;
5.44;0;0;0;0;0;0;0;0;20;
5.472;0;0;0;0;0;0;0;0;20;
5.504;0;0;0;0;0;0;0;0;20;
5.536;0;0;0;0;0;0;0;0;20;
5.568;0;0;0;0;0;0;0;0;20;
5.6;0;0;0;0;0;0;0;0;20;
5.632;0;0;0;0;0;0;0;0;20;
5.664;0;0;0;0;0;0;0;0;20;
5.696;0;0;0;0;0;0;0;0;20;
5.728;0;0;0;0;0;0;0;0;20;
5.76;0;0;0;0;0;0;0;0;20;
5.792;0;0;0;0;0;0;0;0;20;
5.824;0;0;0;0;0;0;0;0;20;
5.856;0;0;0;0;0;0;0;0;20;
5.888;0;0;0;0;0;0;0;0;20;
5.92;0;0;0;0;0;0;0;0;20;
5.952;0;0;0;0;0;0;0;0;20;
5.984;0;0;0;0;0;0;0;0;20;
6.016;0;0;0;0;0;0;0;0;20;
6.048;0;0;0;0;0;0;0;0;20;
6.08;0;0;0;0;0;0;0;0;20;
6.112;0;0;0;0;0;0;0;0;20;
6.144;0;0;0;0;0;0;0;0;20;
6.176;0;0;0;0;0;0;0;0;20;
6.208;0;0;0;0;0;0;0;0;20;
6.24;0;0;0;0;0;0;0;0;20;
6.272;0;0;0;0;0;0;0;0;20;
6.304;0;0;0;0;0;0;0;0;20;
6.336;0;0;0;0;0;0;0;0;20;
6.368;0;0;0;0;0;0;0;0;20;
6.4;0;0;0;0;0;0;0;0;20;
6.432;0;0;0;0;0;0;0;0;20;
6.464;0;0;0;0;0;0;0;0;20;
6.496;0;0;0;0;0;0;0;0;20;
6.528;0;0;0;0;0;0;0;0;20;
6.56;0;0;0;0;0;0;0;0;20;
6.592;0;0;0;0;0;0;0;0;20;
6.624;0;0;0;0;0;0;0;0;20;
6.656;0;0;0;0;0;0;0;0;20;
6.688;0;0;0;0;0;0;0;0;20;
6.72;0;0;0;0;0;0;0;0;20;
